neighborhood,Englewood,Irving_Park,JeffersonPark,Lakeview,LincolnPark,NearNorthSide,Portage_Park,South_Lawndale,West_Englewood
Englewood,1.0,-0.17724667358101096,-0.5432742173179173,-0.5274484403760783,-0.638915536857444,-0.5067712939029635,-0.3263161708819913,0.5412063008083128,0.985650844235843
Irving_Park,-0.17724667358101096,1.0,0.12833772149687878,-0.21899599527841176,-0.2683971886213669,-0.3514018488121237,0.8153130444737338,0.6084443187777566,-0.16317357571585467
JeffersonPark,-0.5432742173179173,0.12833772149687878,1.0,-0.1502831729866662,0.13707596708073727,0.22644821658493722,0.6202399995275151,-0.45502361564232885,-0.42325279046913705
Lakeview,-0.5274484403760783,-0.21899599527841174,-0.1502831729866662,1.0,0.857141227567637,0.8465795489938496,-0.4410832888773082,-0.49649291015467845,-0.5951957695846775
LincolnPark,-0.638915536857444,-0.2683971886213669,0.13707596708073727,0.8571412275676369,1.0,0.789244563915286,-0.2624992783885407,-0.5899067809529741,-0.6704311278065738
NearNorthSide,-0.5067712939029635,-0.3514018488121238,0.22644821658493722,0.8465795489938496,0.789244563915286,1.0,-0.3499271636306964,-0.6781223657045591,-0.5258137709816023
Portage_Park,-0.3263161708819912,0.8153130444737338,0.620239999527515,-0.4410832888773082,-0.2624992783885407,-0.3499271636306964,1.0,0.323633381044456,-0.2473359960288497
South_Lawndale,0.5412063008083128,0.6084443187777566,-0.45502361564232885,-0.49649291015467845,-0.589906780952974,-0.6781223657045592,0.323633381044456,1.0,0.48885993388816873
West_Englewood,0.985650844235843,-0.16317357571585464,-0.4232527904691371,-0.5951957695846776,-0.6704311278065737,-0.5258137709816023,-0.24733599602884968,0.4888599338881687,1.0
