neighborhood,k2,k3,k4,k5,k6
Englewood,1,1,1,4,0
Irving_Park,0,2,2,2,1
JeffersonPark,0,2,2,2,1
Lakeview,0,2,0,0,2
LincolnPark,0,2,0,0,2
NearNorthSide,0,2,0,0,5
Portage_Park,0,2,2,2,1
South_Lawndale,0,0,3,3,3
West_Englewood,1,1,1,1,4
