,Local_Clustering,Local_Clustering,Local_Clustering,Local_Clustering,Global_Clustering,Average_Clustering
,mean,std,min,max,first,first
Network,,,,,,
correlation_0.5,1.0,0.0,1.0,1.0,1.0,1.0
cosine_0.3,1.0,0.0,1.0,1.0,1.0,1.0
cosine_0.5,0.8444444444444444,0.34318767136623335,0.0,1.0,0.8918918918918919,0.8444444444444444
cosine_0.7,0.8888888888888888,0.3333333333333333,0.0,1.0,1.0,0.8888888888888888
euclidean_0.6,0.2962962962962963,0.3888888888888889,0.0,1.0,0.6,0.2962962962962963
top_3,0.8148148148148148,0.33793125168323446,0.0,1.0,0.9,0.8148148148148148
top_4,0.8296296296296296,0.2557366508107534,0.4666666666666667,1.0,0.7358490566037735,0.8296296296296296
