Community_Area,total_population,median_income,poverty,unemployment,bachelors,graduate,white,black,hispanic,broadband,owner_occupied,renter_occupied,snap
Englewood,145399.0787878788,-1869892.6484848484,145152.5,145035.6909090909,145018.5303030303,145002.36666666664,145001.67575757575,145366.4121212121,145016.34545454543,145105.87575757576,145038.79696969694,145122.28787878787,145079.10303030303
West_Englewood,136621.98771929825,-2196896.947368421,136432.30175438596,136369.31929824562,136355.11228070175,136347.3140350877,136345.41578947369,136577.60350877192,136377.4649122807,136408.97719298245,136389.63333333333,136396.31754385965,136388.00175438594
Irving_Park,33266.43555555555,48902.63555555556,32617.048888888887,32573.055555555555,32692.997777777775,32614.48,32864.78666666667,32572.524444444443,32841.433333333334,32793.84,32692.364444444444,32689.853333333333,32578.206666666665
JeffersonPark,23388.98333333333,38893.666666666664,22557.73888888889,22506.211111111108,22652.81111111111,22548.655555555553,23015.344444444443,22498.68333333333,22707.338888888888,22784.472222222223,22714.355555555554,22601.616666666665,22513.044444444444
Lakeview,26991.25588235294,48495.55392156863,26443.010784313723,26409.343137254902,26610.651960784315,26498.048039215686,26848.704901960784,26419.493137254904,26448.279411764706,26690.35196078431,26514.84705882353,26594.68529411765,26406.484313725487
LincolnPark,30511.261666666665,58236.784999999996,29878.266666666663,29835.629999999997,30046.73833333333,29938.17166666666,30367.041666666664,29847.99166666666,29865.675,30119.211666666662,29967.791666666664,29999.03,29831.829999999998
NearNorthSide,39300.44761904762,-3113527.438095238,38433.76825396826,38362.90158730159,38686.20952380953,38527.23015873016,39001.14603174604,38416.61428571429,38404.55079365079,38875.00634920635,38583.34920634921,38692.85873015873,38366.206349206346
Portage_Park,41193.48095238095,55635.70238095238,40361.9119047619,40305.245238095245,40423.821428571435,40335.02380952381,40711.14047619048,40290.71428571429,40665.735714285714,40553.1,40474.75476190476,40405.304761904765,40311.35238095238
South_Lawndale,91351.80370370371,98673.0611111111,90734.98518518519,90591.19074074074,90602.4,90572.09444444443,90603.18148148149,90659.70555555556,91208.11111111111,90715.95,90647.4074074074,90691.03888888888,90615.15555555555
