Network,Nodes,Edges,Density,Avg_Degree_Centrality,Avg_Eigenvector_Centrality,Avg_Closeness_Centrality,Global_Clustering,Average_Clustering,N_Communities,Modularity
cosine_0.7,9,13,0.3611111111111111,0.3611111111111111,0.2484531747556364,0.3611111111111111,1.0,0.8888888888888888,3,0.33887895150468217
cosine_0.5,9,14,0.3888888888888889,0.3888888888888889,0.25945724837760165,0.42283950617283955,0.8918918918918919,0.8444444444444444,2,0.3294345709656096
cosine_0.3,9,18,0.5,0.5,0.2721660460894643,0.5,1.0,1.0,2,0.3003348165461863
euclidean_0.6,9,6,0.16666666666666666,0.16666666666666666,0.23726078930059463,0.19285714285714287,0.6,0.2962962962962963,6,0.08674798321654205
top_3,9,11,0.3055555555555556,0.3055555555555556,0.22223022487843636,0.3125,0.9,0.8148148148148148,3,0.4386869724693055
top_4,9,17,0.4722222222222222,0.4722222222222222,0.30382504557597545,0.5897707231040565,0.7358490566037735,0.8296296296296296,2,0.3745916607564896
correlation_0.5,9,18,0.5,0.5,0.2721660460894643,0.5,1.0,1.0,2,0.2781854146073123
