geo_id,unemployment_2018,unemployment_2019,unemployment_2020,unemployment_2021,unemployment_2022,unemployment_2023,graduate_2018,graduate_2019,graduate_2020,graduate_2021,graduate_2022,graduate_2023,bachelors_2018,bachelors_2019,bachelors_2020,bachelors_2021,bachelors_2022,bachelors_2023,snap_2018,snap_2019,snap_2020,snap_2021,snap_2022,snap_2023,median_income_2018,median_income_2019,median_income_2020,median_income_2021,median_income_2022,median_income_2023,poverty_2018,poverty_2019,poverty_2020,poverty_2021,poverty_2022,poverty_2023,broadband_2018,broadband_2019,broadband_2020,broadband_2021,broadband_2022,broadband_2023,owner_occupied_2018,owner_occupied_2019,owner_occupied_2020,owner_occupied_2021,owner_occupied_2022,owner_occupied_2023,renter_occupied_2018,renter_occupied_2019,renter_occupied_2020,renter_occupied_2021,renter_occupied_2022,renter_occupied_2023,total_population_2018,total_population_2019,total_population_2020,total_population_2021,total_population_2022,total_population_2023,white_pct_2018,black_pct_2018,hispanic_pct_2018,majority_race_2018,white_pct_2019,black_pct_2019,hispanic_pct_2019,majority_race_2019,white_pct_2020,black_pct_2020,hispanic_pct_2020,majority_race_2020,white_pct_2021,black_pct_2021,hispanic_pct_2021,majority_race_2021,white_pct_2022,black_pct_2022,hispanic_pct_2022,majority_race_2022,white_pct_2023,black_pct_2023,hispanic_pct_2023,majority_race_2023,neighborhood
1400000US17031062500,36,58,80,89,79,65,266,274,272,279,262,258,552,524,527,520,476,543,21,12,4,7,33,26,131818,150240,160208,157143,145903,169917,205,178,199,225,200,166,679,675,651,651,625,644,367,378,404,399,450,457,345,335,295,289,231,224,1575,1556,1580,1557,1420,1463,79.4920634920635,2.6031746031746033,8.507936507936508,white,75.51413881748073,3.1491002570694087,12.017994858611825,white,76.26582278481013,1.7088607594936709,12.59493670886076,white,73.60308285163777,2.8901734104046244,11.689145793192036,white,71.40845070422536,3.5211267605633805,12.183098591549296,white,74.5727956254272,0.4784688995215311,13.260423786739576,white,Lakeview
1400000US17031062600,71,52,41,48,49,37,403,400,430,445,471,458,800,854,688,680,649,653,0,0,0,14,14,27,158125,164286,182563,187857,195357,177045,37,51,67,77,63,99,930,934,883,945,928,918,620,634,616,623,641,629,352,346,295,329,293,301,2370,2442,2438,2474,2371,2362,74.43037974683544,1.3080168776371308,7.215189873417721,white,73.09582309582309,1.8427518427518428,11.097461097461098,white,75.06152584085316,1.5996718621821164,6.316652994257588,white,71.46321746160065,0.6871463217461601,10.873080032336297,white,74.73639814424293,1.687051876845213,9.23660902572754,white,74.47078746824725,1.397121083827265,9.314140558848434,white,Lakeview
1400000US17031062700,22,23,44,77,89,98,473,459,559,515,637,616,890,902,983,1124,1097,1072,51,46,35,55,88,100,168352,172850,147000,139477,151080,136667,125,179,159,146,227,251,980,1031,1173,1223,1303,1360,600,597,663,654,606,573,489,500,553,611,725,827,2885,2982,2972,3066,3046,2898,90.50259965337955,0.2772963604852686,5.095320623916811,white,86.75385647216633,0.2347417840375587,8.450704225352112,white,83.17631224764467,0.9757738896366084,8.07537012113055,white,80.43052837573386,1.2393998695368558,8.12133072407045,white,81.22127380170716,1.4116874589625739,5.121470781352593,white,74.81021394064872,1.621808143547274,6.86680469289165,white,Lakeview
1400000US17031062800,54,51,59,55,34,43,532,524,568,599,598,630,1367,1295,1247,1221,1386,1273,32,46,30,54,55,44,143667,156875,180431,154911,166538,166741,185,193,140,148,144,103,1382,1364,1346,1373,1454,1518,657,648,708,735,736,718,791,770,676,698,768,835,3625,3460,3443,3613,3682,3766,81.71034482758621,1.4620689655172414,6.924137931034482,white,82.48554913294798,1.8208092485549134,6.011560693641618,white,86.08771420273018,1.4231774615161197,6.070287539936102,white,84.44505950733463,1.5222806531967894,6.282867423194022,white,80.20097772949484,1.4937533948940793,8.799565453557848,white,76.73924588422729,0.7966011683483802,13.515666489644184,white,Lakeview
1400000US17031062900,68,60,156,76,83,81,645,623,516,513,652,645,1470,1513,1461,1479,1442,1598,15,16,23,20,66,69,128750,131900,113243,146341,159088,181429,283,293,302,218,136,105,1691,1756,1730,1777,1857,1958,750,805,800,871,899,938,1072,1037,988,949,1002,1026,3818,3818,3759,3956,4138,4325,86.77317967522264,4.426401257202723,2.9072812991094814,white,80.35620743844945,7.228915662650602,5.264536406495547,white,77.68023410481511,3.4051609470603887,4.735301942005853,white,72.16885743174925,4.196157735085945,9.17593528816987,white,70.46882551957468,6.259062348960851,10.028999516674721,white,69.6878612716763,5.687861271676301,10.797687861271676,white,Lakeview
1400000US17031063000,65,51,113,146,140,192,614,610,474,663,636,607,1295,1215,1510,1337,1357,1371,8,8,7,6,0,0,99213,95897,99041,99792,104052,103250,278,332,243,233,294,301,1669,1618,1631,1648,1693,1652,659,667,626,614,633,571,1134,1120,1170,1194,1203,1213,3448,3456,3506,3315,3280,3017,71.40371229698376,4.901392111368909,6.815545243619489,white,72.51157407407408,4.976851851851852,6.6261574074074066,white,73.16029663434112,3.993154592127781,7.045065601825443,white,74.47963800904978,4.705882352941177,6.636500754147813,white,77.10365853658536,3.841463414634146,8.353658536585366,white,78.05767318528339,3.3476963871395427,7.4577394763009615,white,Lakeview
1400000US17031063100,70,80,64,69,37,59,497,521,546,558,621,634,772,773,877,902,786,694,19,22,18,20,20,43,95365,90978,94929,96188,99483,97347,185,201,198,206,174,196,1162,1159,1235,1251,1296,1334,421,375,357,366,351,385,875,921,989,1018,1035,1022,2310,2238,2309,2343,2352,2357,79.35064935064935,0.9090909090909091,7.012987012987012,white,81.45665773011618,1.0723860589812333,5.719392314566577,white,84.4954525768731,0.0,4.937202252057168,white,84.89116517285531,0.0,3.755868544600939,white,84.90646258503402,0.0,5.314625850340136,white,79.46542214679677,2.800169707254985,7.000424268137463,white,Lakeview
1400000US17031063200,223,234,196,174,151,72,1377,1250,1100,1345,1354,1325,2281,2306,2542,2567,2649,2761,12,0,0,34,39,46,65426,72457,67406,68710,81020,77183,570,589,353,159,112,162,3788,4011,3987,4131,4234,4242,1553,1473,1344,1386,1440,1442,2661,2735,2838,3006,2973,3148,6897,6745,6285,6387,6380,6481,85.22546034507758,1.145425547339423,6.785558938668987,white,83.91401037805782,2.8613787991104522,6.760563380281689,white,80.85918854415274,4.200477326968974,6.428003182179793,white,78.6910912791608,5.714733051510882,7.906685454830124,white,79.51410658307209,5.862068965517241,6.661442006269593,white,74.94213855886437,7.066810677364605,8.347477241166487,white,Lakeview
1400000US17031063301,11,20,21,42,47,81,430,474,433,492,560,551,1022,1000,1076,1011,935,895,186,217,314,364,427,364,58371,60361,61139,63889,66447,69188,423,381,486,544,621,574,1505,1550,1650,1725,1770,1779,292,316,282,247,251,322,1549,1549,1685,1751,1781,1699,2768,2735,2925,3008,2992,2912,74.67485549132948,7.731213872832369,6.719653179190751,white,76.78244972577697,5.996343692870202,7.641681901279708,white,67.07692307692308,9.504273504273504,13.538461538461538,white,67.88563829787235,9.90691489361702,12.267287234042554,white,65.04010695187165,6.0828877005347595,14.672459893048128,white,70.84478021978022,6.112637362637362,8.722527472527473,white,Lakeview
1400000US17031063302,9,25,26,149,162,165,680,714,876,797,923,1153,1547,1625,1501,1634,1645,1624,0,0,0,0,19,22,78720,81638,85152,84319,94173,96364,276,330,318,332,188,252,2363,2385,2340,2408,2512,2550,847,853,668,746,743,903,1863,1883,1981,1991,2026,1953,3781,3967,3867,4010,4102,4152,78.15392753239884,3.173763554615181,7.669928590320022,white,78.64885303755987,2.5712125031509956,7.713637509452988,white,75.66589087147659,3.12904059994828,10.39565554693561,white,82.11970074812967,2.593516209476309,5.112219451371571,white,82.35007313505606,3.2910775231594345,4.266211604095563,white,78.15510597302506,2.9865125240847785,3.371868978805395,white,Lakeview
1400000US17031063303,30,28,29,60,60,54,266,259,301,310,331,363,455,461,414,335,325,363,16,19,9,3,0,0,81705,92250,92200,93625,102500,104813,72,60,64,91,111,128,660,704,648,681,726,762,365,387,391,421,442,489,542,518,443,436,424,430,1223,1243,1160,1180,1198,1281,85.28209321340965,0.24529844644317253,4.82420278004906,white,85.03620273531777,0.0,1.7699115044247788,white,82.67241379310344,0.0,2.413793103448276,white,80.42372881355932,0.0,2.711864406779661,white,77.54590984974958,1.0851419031719534,2.003338898163606,white,80.71818891491023,1.639344262295082,1.3270882123341141,white,Lakeview
1400000US17031063400,22,16,15,42,31,35,377,433,449,381,363,452,974,958,875,935,762,837,0,9,17,28,39,41,97305,105735,104878,113512,95833,116765,133,163,163,167,140,121,1105,1133,1177,1226,1300,1309,363,422,348,268,219,293,798,782,878,1015,1115,1055,2318,2443,2628,2737,2435,2395,81.66522864538395,2.6747195858498705,4.7886108714408975,white,79.77896029471961,2.660663119115841,7.286123618501842,white,79.9847792998478,4.071537290715373,5.060882800608828,white,78.00511508951406,3.2151991231275123,6.759225429302155,white,78.39835728952772,4.229979466119096,9.034907597535934,white,77.82881002087683,5.260960334029228,10.647181628392484,white,Lakeview
1400000US17031831900,32,36,36,86,59,54,495,538,674,637,621,598,1108,1131,1159,1175,950,1038,0,0,0,0,97,52,109643,131500,113889,135354,125139,131567,162,151,297,322,430,311,1325,1380,1424,1482,1451,1383,540,609,619,619,535,553,806,799,845,888,949,882,2913,3228,3384,3262,3074,2874,80.0205973223481,1.3731548232063164,8.170271198077582,white,80.20446096654274,1.703841387856258,9.076827757125155,white,78.7825059101655,1.1820330969267139,10.69739952718676,white,75.59779276517474,1.471489883507051,11.833231146535867,white,76.7729342875732,2.277163305139883,11.613532856213403,white,80.27139874739039,2.2964509394572024,8.524704244954767,white,Lakeview
1400000US17031832000,59,77,74,58,57,49,184,199,280,290,263,315,665,572,552,650,726,671,10,10,25,27,39,41,115192,121500,114479,126875,128828,146944,216,195,151,170,147,121,802,768,868,956,970,966,343,343,357,419,385,414,479,447,532,558,622,590,1781,1621,1698,1774,1701,1654,80.01122964626614,3.0320044918585065,4.716451431779898,white,78.2233189389266,3.2078963602714374,4.256631708821715,white,73.85159010600707,3.7102473498233217,5.948174322732626,white,76.43742953776776,3.269447576099211,5.80608793686584,white,77.42504409171076,3.0570252792475014,8.171663727219283,white,81.3180169286578,1.3301088270858523,8.52478839177751,white,Lakeview
1400000US17031832100,110,110,86,156,116,133,438,419,556,553,566,651,1192,1287,1153,1254,1275,1136,80,98,127,130,151,231,72778,76193,80785,84016,79985,84875,398,485,600,560,550,583,1596,1611,1557,1588,1613,1687,509,493,415,477,436,441,1317,1350,1408,1341,1373,1457,3533,3602,3590,3581,3592,3690,62.553071044438155,21.341636003396548,8.915935465609962,white,62.770682953914495,23.59800111049417,7.995558023320378,white,51.25348189415042,34.79108635097493,8.384401114206128,white,52.080424462440654,30.68975146607093,10.723261658754538,white,50.75167037861915,28.368596881959913,12.221603563474387,white,51.300813008130085,29.105691056910572,11.734417344173442,white,Lakeview
